В наступление!,hyökkäykseen
Да,kyllä
Нет,ei
Пожалуйста,ole hyvä
Спасибо,kiitos
Извините,anteeksi
Я понимаю,ymmärrän
Я не понимаю,en ymmärrä
Говорите медленно,puhukaa hitaasti
Повторите,toistakaa
Вы говорите по-английски?,puhutteko englantia?
Я из России,olen Venäjältä
Я из Финляндии,olen Suomesta
Я гражданский,olen siviili
Мы мирные,olemme rauhanomaisia
Где?,missä?
Кто вы?,kuka te olette?
Что это?,mikä tämä on?
Подождите,odottakaa
Я потерялся,olen eksynyt
Помогите!,auttakaa!
Стой!,pysähdy!
Осторожно!,varovasti!
Опасно!,vaarallista!
Спокойно,rauhallisesti
Я не хочу проблем,en halua ongelmia
Не трогайте меня,älkää koskeko minuun
Мне нужен врач,tarvitsen lääkärin
Где больница?,missä on sairaala?
Где полиция?,missä on poliisi?
Мне плохо,minulla on huono olo
Мне холодно,minulla on kylmä
Я ранен,olen haavoittunut
Вода,vettä
Еда,ruokaa
Мне нужна вода,tarvitsen vettä
Мне нужна еда,tarvitsen ruokaa
Я голоден,olen nälkäinen
У меня нет …,minulla ei ole …
У вас есть телефон?,onko teillä puhelinta?
Иди сюда!,tule tänne!
Давай!,no niin / hop!
Руки вверх!,kädet ylös!
Убей!,tapa!