Russian,Finnish
огневая подготовка, ampumakoulutus
стрелковая подготовка, ampumakoulutus
занятие, harjoitus
погода, sää
летний, kesäinen
ранний, varhainen
поздний, myöhäinen
вчера, eilen
сегодня, tänään
завтра, huomenna
позавчера, toissapäivänä
послезавтра, ylihuomenna
изучать, opiskella
техник, teknikko
осматривать, tarkastaa
лётчик-инструктор, lennonopettaja
задача, tehtävä
задание, tehtävä
поставить задачу, поручить
ставить задачу, поручать
проверять, tarkistaa
полёт, lento
взлёт, lentoonlähtö
запускать, käynnistää
выруливать, rullata
старт, lähtö
практика, käytäntö
практический, käytännöllinen
натренировать, kouluttaa
тренировать, harjoittaa
умение, taito
соревнования, suunnistuskilpailut
вечер, ilta
вечером, illalla
день, päivä
днём, päivällä
ночь, yö
утро, aamu
утром, aamulla
поздно, myöhään
рано, aikaisin