Russian, Finnish
Рядовой, Sotamies
Ефрейтор, Korpraali
Младший сержант, Alikersantti
Сержант, Kersantti
Старший сержант, Ylikersantti
Старшина, Vääpeli
Курса́нт, Kadetti
Прапорщик, Vänrikki
Старший прапорщик, Ylivänrikki
Младший лейтенант, Aliluutnantti
Лейтенант, Luutnantti
Старший лейтенант, Yliluutnantti
Капитан, Kapteeni
Майор, Majuri
Подполковник, Everstiluutnantti
Полковник, Eversti
Генерал-майор, Kenraalimajuri
Генерал-лейтенант, Kenraaliluutnantti
Генерал-полковник, Kenraalieversti
Генерал армии, Armeijankenraali
Маршал Российской Федерации, Venäjän federaation marsalkka